 Partition        NodeList     Group      User    JobName        JobID              Submit               Start                 End ExitCode CPUTimeRAW TRESUsageInTot TRESUsageOutTot  MaxVMSize  AllocCPUS   NTasks    Cluster TimelimitR     ReqMem 
---------- --------------- --------- --------- ---------- ------------ ------------------- ------------------- ------------------- -------- ---------- -------------- --------------- ---------- ---------- -------- ---------- ---------- ---------- 
                  gpu-20-9                         extern 8248.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-20-9                         run.sh 8248.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:47:4+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-3      chem    rliang      job29 8249         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-3                          batch 8249.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:13     0:15     158426 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-3                         extern 8249.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+      4352K          1        1  redraider                9639Mc 
                  gpu-21-3                         run.sh 8249.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:1+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-4      chem    rliang      job30 8250         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-4                          batch 8250.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:13     0:15     158426 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-4                         extern 8250.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-21-4                         run.sh 8250.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:47:1+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
